Pair,Score
头顶	清爽,1.9670736903952832
好看	好,1.9670736903952832
成分	好,1.9670736903952832
控油	彻底,1.9670736903952832
揉搓	温和,1.9670736903952832
提好	好,1.9670736903952832
效果	差,1.9670736903952832
时间	久,1.9670736903952832
有用	香,1.9670736903952832
材质	好,1.9670736903952832
气味	清淡,1.9670736903952832
气味	浓厚,1.9670736903952832
洗出来	干净,1.9670736903952832
洗发露	香,1.9670736903952832
洗完	光滑,1.9670736903952832
洗起来	清爽,1.9670736903952832
洗起来	不错,1.9670736903952832
清洗	彻底,1.9670736903952832
物流	顺畅,1.9670736903952832
秀发	柔顺,1.9670736903952832
蓬松度	不错,1.9670736903952832
质地	温和,1.9670736903952832
质感	好,1.9670736903952832
道理	好,1.9670736903952832
顺滑	香,1.9670736903952832
香味	独特,1.9670736903952832
香味	柔和,1.9670736903952832
香味	重,1.9670736903952832
香气	舒服,1.9670736903952832
香气	香,1.9670736903952832
香气	适宜,1.9670736903952832
物流	快,1.185524135248985
速度	快,1.0708422658465813
发货	快,0.7517227591433264
服务	好,0.7249747604603155
洗发露	好,0.659638116452811
牌子	好,0.6578940930224589
头皮	友好,0.6576949607673657
效果	显著,0.6576949607673657
控油	不错,0.5308456036840983
头发	痒,0.5020030433164202
香味	不错,0.4968228774800763
洗发水	柔顺,0.4463943261147029
效果	很棒,0.4316031031672342
效果	蓬松,0.4134974190527611
选择	不错,0.4134181243762608
物流	好,0.39487816659972463
产品	最好,0.35077127253543006
洗发	清爽,0.3427019969210073
追评	差,0.3390856506724057
控油	强,0.3326672990660515
卖家	好,0.3293676684624839
快递	快,0.32887901426254407
洗感	舒适,0.32886324656718713
头发	细顺,0.32884748038368283
实测	好,0.32884748038368283
控油	差,0.32884748038368283
觉着	不错,0.32884748038368283
选择	谨慎,0.32884748038368283
效果	持久,0.3258397051072224
头皮	痒,0.3211526151458336
配方	温和,0.3105612742161486
价格	不贵,0.30665034559422955
香味	敏感,0.3040723136053089
洗发水	蓬松,0.29689183998834323
发丝	柔顺,0.2902591434366333
发膜	好,0.2863852767634791
性价比	好,0.27141690538918833
上头	舒服,0.2625444471684296
发膜	香,0.2625444471684296
赠品	好,0.2559086819652618
感觉	干净,0.24918242921715958
味道	舒服,0.24310196366309803
商家	好,0.24234798454292789
客服	耐心,0.24170460417123382
东西	便宜,0.2416582534867718
味道	清爽,0.2416582534867718
味道	独特,0.2416582534867718
头屑	不错,0.2416582534867718
快递	完整,0.2416582534867718
情况	好,0.2416582534867718
持续时间	长,0.2416582534867718
搭配	不错,0.2416582534867718
洗头	干净,0.2416582534867718
清洁度	好,0.2416582534867718
蓬松度	高,0.2416582534867718
赠品	丰富,0.2416582534867718
泡沫	好,0.23816469197182458
香味	浓郁,0.22210400280731302
改善	明显,0.206728883956322
香味	清淡,0.2067189725970612
洗发水	舒爽,0.2067090621881304
效果	强,0.1692484756048619
洗头	蓬松,0.16294328889367826
发根	蓬松,0.1629198525536112
情况	不错,0.1629120419383519
活动	合适,0.1629120419383519
洗完	干净,0.16040981604004742
洗发水	合适,0.15729381492713476
价格	好,0.154980846689968
价格	便宜,0.15397265874129848
搭配	好,0.15320832710850682
生产日期	新,0.15320098207793623
头发	粗糙,0.15213775976025834
头发	舒爽,0.15210178463445442
香味	香,0.1520564699372436
头发	硬,0.15203615680265445
黄瓶	好,0.15203615680265445
洗完	好,0.14525461501543271
洗发水	很好,0.14218488787888167
洗发水	最好,0.13805443215237248
味道	蓬松,0.13781264839804078
洗发水	很高,0.13781264839804078
洗发水	差,0.13781264839804078
花香调	持久,0.13781264839804078
味道	挺软,0.13780604145875358
改善	很好,0.13780604145875358
洗发水	难用,0.13780604145875358
道理	有贵,0.13780604145875358
去屑	好,0.13649762680636454
商品	香,0.12632200640102018
效果	一般,0.1258294547533649
控油	明显,0.12087276832755865
性价比	不错,0.10475989958324883
头皮屑	少,0.10406313550575397
评价	不错,0.1029763800396429
感觉	挺好,0.10297144320185013
头发	干燥,0.1019105494512602
去屑	不错,0.09866928161216759
质量	不错,0.0940176662771362
效果	挺好,0.09401315893314248
洗发水	挺好用,0.09288085568434415
控油	确实,0.0924566396682449
感受	明显,0.09097717557320822
洗完	确实,0.08858843760838343
头皮	不痒,0.08506303075585782
出油	慢,0.08505895251462949
赠品	不错,0.08505895251462949
头发	不痒,0.08505487466443483
喜欢	柔顺,0.083643469308018
效果	很好,0.07581287689320311
感觉	柔顺,0.07511821908377647
洗发水	高,0.07330753544317604
产品	很棒,0.07324778439539298
控油	最好,0.07311116333862988
洗发膏	好,0.0724598507532201
感觉	轻松,0.06892284629979996
洗发水	一般,0.06891908959107636
发质	毛躁,0.06890962798544066
控油	很大,0.06890962798544066
泡泡	细腻,0.06890962798544066
洗发水	新,0.06890962798544066
产品	便宜,0.06890632419902039
产品	明显,0.06890632419902039
姐妹	犹豫,0.06890632419902039
感觉	干爽,0.06890632419902039
搭配	蓬松,0.06890632419902039
洗发水	健康,0.06890632419902039
香气	清新,0.06890632419902039
上头	软软,0.06890302072937679
产品	高,0.06890302072937679
产品	不同,0.06890302072937679
产品质量	高,0.06890302072937679
体验感	很好,0.06890302072937679
区别	很大,0.06890302072937679
发现	意外,0.06890302072937679
味道	明显,0.06890302072937679
大油头	妥妥,0.06890302072937679
头发	挺好,0.06890302072937679
好用	意外,0.06890302072937679
姐妹	毛躁,0.06890302072937679
感受	最大,0.06890302072937679
感觉	清新,0.06890302072937679
感觉	愉悦,0.06890302072937679
感觉	疼,0.06890302072937679
控油	有效,0.06890302072937679
控油	合适,0.06890302072937679
改善	显著,0.06890302072937679
效果	清洁,0.06890302072937679
朋友	健康,0.06890302072937679
洗发水	便宜,0.06890302072937679
洗发水	棒,0.06890302072937679
洗发水	不同,0.06890302072937679
洗发水	贵,0.06890302072937679
洗发水	平常,0.06890302072937679
洗发水	巨好用,0.06890302072937679
洗发水	最难,0.06890302072937679
购物	不错,0.06890302072937679
购物	愉快,0.06890302072937679
赠品	小,0.06890302072937679
配方	独特,0.06890302072937679
香味	美妙,0.06890302072937679
香气	浓郁,0.06890302072937679
香气	优雅,0.06890302072937679
洗完	柔软,0.06599485788832918
追评	蓬松,0.06587595406474923
感觉	轻,0.06275727562636017
洗起来	蓬松,0.06275727562636017
洗发水	清新,0.06241168741464043
服务态度	不错,0.058975014501484714
整体	不错,0.05834399129583693
总体	不错,0.0565024675341082
好闻	持久,0.051488346070922786
发乳	不错,0.051485721600925065
头发	很痒,0.051485721600925065
实体店	贵,0.051485721600925065
用用	不错,0.051485721600925065
用过	挺好,0.051485721600925065
线下	便宜,0.051485721600925065
味道	持久,0.04919305837835193
推荐	好,0.04887255974464354
头发	健康,0.048826803519031806
发质	柔顺,0.04843487222796373
止痒	好,0.047804489372090773
洗完	干燥,0.04755214413126649
评价	好,0.045370564179977466
价钱	合适,0.045368389048982986
流动性	好,0.045368389048982986
发现	蓬松,0.044288613147012025
洗完	滑滑,0.044288613147012025
女孩子	长,0.04428648988632749
感到	柔顺,0.04428648988632749
洗完	很滑,0.04428648988632749
洗完	很润,0.04428648988632749
洗完	很软,0.04428648988632749
洗完	不顺,0.04428648988632749
洗完	清洁,0.04428648988632749
吹干	蓬松,0.04314901940664253
头发	很顺,0.042529476355077846
味道	不腻,0.04252947625731474
头发	扁,0.04252947625731474
体验感	不错,0.042527437332217415
信息	快,0.042527437332217415
力度	大,0.042527437332217415
包装	很大,0.042527437332217415
头油	少,0.042527437332217415
头皮	不辣,0.042527437332217415
头皮屑	确实,0.042527437332217415
态度	不错,0.042527437332217415
收到	快,0.042527437332217415
服务	很棒,0.042527437332217415
服务态度	很好,0.042527437332217415
气味	挺好,0.042527437332217415
瓶子	很大,0.042527437332217415
留香	挺久,0.042527437332217415
留香	不错,0.042527437332217415
质量	很好,0.042527437332217415
香味	很棒,0.042527437332217415
控油	很棒,0.03912022594286903
洗发	蓬松,0.03809740015899947
头发	细软,0.03805578629686982
头发丝	干净,0.037927595924651454
组合	挺好用,0.037927595924651454
头顶	蓬松,0.0372167142427553
控油	一般,0.03653474512725828
护发	很棒,0.036531242069364325
洗头	不错,0.036531242069364325
买到	好,0.03565770375354508
正品	好,0.03479269901641462
变得	清爽,0.032995812795477863
光泽度	好,0.03103121568487728
头皮	温和,0.02975990766132393
变得	柔软,0.02975134507169585
追评	难,0.029747065897970514
时间	快,0.02974563978026184
商品	清新,0.026580843590102456
头发	持久,0.026569919996881398
希望	好,0.0242508615924307
护发	好,0.023902244686045387
发质	蓬松,0.023631101159653892
环境	舒适,0.023631101159653892
洗发水	很棒,0.02232171738064378
头皮	很爽,0.02231850697361872
洗感	很棒,0.02231850697361872
刺激	温和,0.021305641757842504
区别	大,0.02088619368165782
头发	难,0.02088619368165782
瓶子	小,0.02088619368165782
质量	差,0.02088619368165782
洗完	明显,0.020526549830564796
效果	很大,0.019487773468381177
头发	快,0.018970164163617683
头发	巨,0.018965616484530278
发丝	根根分明,0.018963797962325727
发丝	充满,0.018963797962325727
脸蛋	小,0.018963797962325727
评论	不错,0.018963797962325727
打开	香,0.01834808925056461
发膜	不错,0.018270000486981988
控油	很好,0.01826737256362914
净屑	好,0.01826649675716821
去屑	很好,0.01826649675716821
去屑	最好,0.018265621034682163
头皮	不错,0.018265621034682163
控油	极佳,0.018265621034682163
洗护	不错,0.018265621034682163
洗护	明显,0.018265621034682163
蓬松度	很棒,0.018265621034682163
变得	慢,0.018180645741703725
头发	光滑,0.018180354698799767
味道	淡,0.018080792121875102
不油	舒服,0.018079925302340018
头发	软,0.018079925302340018
拥有	高,0.017737950819480704
控油	显著,0.017443409461061564
价格	贵,0.017430205203597202
回购	好,0.01714497013049573
皮屑	少,0.0164475771692673
包装	漂亮,0.014250428478489981
洗好	柔顺,0.01382165727057971
洗护	柔顺,0.01382165727057971
油力	不错,0.013700558454694091
吹干	柔顺,0.0135962166309582
感觉	假,0.013313013242018808
效果	最好,0.013313013242018808
洗发水	舒服,0.012670193348983933
泡泡	干净,0.012669585921442362
冲洗	干净,0.012164261014587003
发膜	容易,0.011936018906325929
做广告	好,0.0118836219414419
没掉	快,0.0118836219414419
洗起来	舒适,0.011577889099609513
商品	清淡,0.011262502840315625
清洗	干净,0.011107298027404781
力度	不错,0.01074674065010634
打开	坏,0.01074674065010634
味道	大,0.01063940916440037
头发	毛躁,0.010576146640215906
头发	干涩,0.01046392533269244
头发	黏腻,0.010457621606778232
头屑	烦人,0.010330044277940466
头发	友好,0.010157375945830757
包装	简陋,0.01015688898641904
商家	精明,0.01015688898641904
浓度	高,0.01015688898641904
气味	不重,0.009725819646471226
泡沫	易,0.009168600017141114
头发	顺亮,0.008828147775294455
洗护	好,0.008721704730530782
护发素	柔顺,0.0084979777618279
油头	清爽,0.008497570356384432
追评	挺好用,0.0082060627806917
发丝	干净,0.007264760578223224
好闻	好,0.006971186802555138
头发	直,0.006656187498377186
气味	很好,0.006656187498377186
头发	确实,0.006448050117907971
深层	好,0.006343777726763273
包装	差,0.006336433666509999
商品	淡,0.006259764796172445
商品	差,0.006259764796172445
商品	干净,0.006259464693921736
商品	蓬松,0.006259464693921736
商品	持久,0.006259464693921736
气味	温和,0.006259464693921736
洗发水	持久,0.006159366192665995
头皮	很痒,0.006075224950860246
洗发水	很大,0.0060654979499644955
自用	不错,0.0060643347249968
洗手间	香,0.00606404399194863
关键	蓬松,0.006059827688100721
变得	干净,0.006059827688100721
变得	好,0.006059827688100721
头发	不易,0.006059827688100721
希望	有效,0.006059827688100721
气味	挺顺,0.006059827688100721
洗完	干爽,0.006040229312884661
油腻	蓬松,0.005810629570320684
油腻	干爽,0.005810072430214349
头皮	蓬松,0.005767989454835125
护发素	柔软,0.005767989454835125
香味	一般,0.005767989454835125
上洗	干净,0.005411061298970095
保护	好,0.005410255635765968
呵护	好,0.005410255635765968
小瓶	不错,0.005014036992641622
试用装	香,0.005003038146393889
追评	香,0.00477551565126676
洗发水	最差,0.004345180294572875
产品	很好,0.004344763666016181
产品	很高,0.004344763666016181
闻到	香,0.0040131210929393035
油腻	柔软,0.0038733816201428992
商品质量	不错,0.003682700168043768
头发	清洁,0.0035998571004208168
配方	清洁,0.0035993393035764296
头油	明显,0.0035570005516356524
头发	粘腻,0.0034862082810805215
泡沫	大,0.0034860409948138183
关键	伤害,0.0034858738689260774
头皮屑	干燥,0.0034858738689260774
油腻	舒服,0.0034858738689260774
质量	清楚,0.0034858738689260774
顺滑	干燥,0.0034858738689260774
顺滑	干涩,0.0034858738689260774
头油	大,0.0033923626735855605
环境	友好,0.0033923626735855605
控油	蓬松,0.0032548784851728616
头发	暴燥,0.003251473797075108
头皮	容易,0.003251473797075108
头皮屑	痒痒,0.003251473797075108
追评	清爽,0.003090699252742547
追评	干净,0.0030904028932781627
皮得很	清爽,0.0029596187751637624
闻到	舒适,0.0029596187751637624
洗完	痒,0.0027500898021658817
喜欢	不错,0.0026462943525694636
洗发水	难,0.0026457292942463806
花香调	清新,0.0024603727513226054
刺激	清新,0.0019366908100714496
评论	一般,0.0019366908100714496
清洗	好,0.0017427967006387844
追评	重,0.0017425347601895283
收到	好,0.001719937562865997
赠送	好,0.0017196901781097414
先用	丰盈,0.0017196077336553927
增高	好,0.0017196077336553927
尝试	好,0.0017196077336553927
评用	好,0.0017196077336553927
还长	小,0.0017196077336553927
变得	健康,0.0017162541730850894
感觉	柔软,0.0017162541730850894
吹干	容易,0.0017133590872590073
反复	好,0.0015396200601831237
无限	好,0.0015396200601831237
头发	高,0.0014800932324996498
快递	好,0.0014722136237587634
物流	一般,0.0014721430436912368
追评	精美,0.0014721430436912368
头发	清新,0.001443710176326254
拧开	舒服,0.001443710176326254
追评	一般,0.0014340818838356002
发现	确实,0.0014340131252663492
商品	不重,0.0013656024020007303
喜欢	浓郁,0.0013229568754706187
清香	不错,0.0013229568754706187
洗出	蓬松,0.001318931399549023
控油	挺好,0.0012833728518455469
做工	好,0.0012397001101123045
洗发水	方便,0.0012300094363934038
清水	好,0.0012049328901225038
头皮	轻松,0.0012032327395858672
感觉	很痒,0.0011025676128670612
改善	健康,0.0011025676128670612
破坏	健康,0.0011025147541682196
洗完	巨爽,0.0011024090317020474
洗起来	干净,0.0011024090317020474
品牌	好,0.0010717960469756715
感觉	健康,0.000858250523886731
体验	愉悦,0.0008582093741597798
体验	舒适,0.0008581682283785734
变得	丰盈,0.0008581270865425447
头发	软顺,0.0008463523062873054
好用	惊喜,0.0008463523062873054
比商	便宜,0.0008463523062873054
客服	积极,0.0007580890127992545
商品	温和,0.0006815268155094021
商品	舒服,0.0005915875374644268
商品	细腻,0.0005915024527572859
去屑	强,0.0005792413004690135
头皮屑	强,0.000526935358712793
祛油	强,0.000526935358712793
外观	不错,0.0005116948721436563
味道	重,0.0004825201779813312
感觉	容易,0.0004825201779813312
感觉	确实,0.0004820793983746477
洗发水	毛躁,0.000482056285677389
追评	好痒,0.0004820331751962431
好像	干净,0.00047669620673371227
包装用	新,0.00046955546445114196
感觉	很大,0.00046955546445114196
收到	完好,0.00042292636164522246
发货	好,0.0002883233029776809
光泽度	完后,0.0002871433171895719
妹子	长,0.0002871433171895719
感觉	长,0.0002871433171895719
洗发水	头痒,0.00028711578373104843
用过	难用,0.0002850066223668287
推荐	不错,0.00028415129722450565
包装	扎实,0.0002841104293421096
黄色	香,0.0002841104293421096
改善	舒爽,0.00020626404999697474
油性	好,0.000202988515175575
店家	好,0.00020113335243201528
商家	确实,0.0002011237098058587
控油	长,0.0001895940409403062
留香	长,0.0001895849515255662
小样	完全,0.00018890295010099087
找到	合适,0.00010452806931489107
寻找	合适,0.00010452305784659503
遇见	好,0.00010452305784659503
头发	温和,9.653511559905534e-05
洗发水	容易,9.652435238863589e-05
洗发水	丰富,9.439034875880045e-05
有用	舒服,9.43756303332203e-05
洗发水	浓稠,9.43360371145368e-05
头皮屑	明显,9.431342364495046e-05
活动	大,5.092587985146663e-05
优惠	很大,5.092343839053952e-05
头发	长,4.4465010710839397e-05
头发	奇痒,4.446287899339847e-05
洗头	容易,4.446287899339847e-05
管好	好,4.446287899339847e-05
颅顶	轻松,4.446287899339847e-05
牌子	确实,3.154342646729671e-05
用过	好,3.154342646729671e-05
优惠	大,2.5462939925733316e-05
活动	很大,2.546171919526976e-05
头发	很滑,2.5171625526513796e-05
头皮	干痒,2.5171625526513796e-05
肯定	差,2.5171625526513796e-05
头油	痒,2.169469514092098e-05
追评	柔顺,2.1403873210087647e-05
礼物	好,1.4860727932081081e-05
追评	完全,1.1946741694665683e-05
包装	高,1.0543915872763272e-05
洗完	大,7.232952146557788e-06
感觉	痒,7.232258497006794e-06
洗完	巨痒,7.23156504697366e-06
追评	高,7.031299760756644e-06
官旗	高,7.030625579233115e-06
实惠	高,7.030625579233115e-06
总体	高,7.030625579233115e-06
感觉	高,7.030625579233115e-06
清洁力	不错,6.544208973777096e-06
发质	细软,3.6497746172834303e-06
姐妹	细软,3.649599641767114e-06
上买	高,3.5146386242544247e-06
味道	浓,3.1157274573039807e-06
头皮	彻底,2.8549722574509674e-06
头皮	温柔,2.854561616578744e-06
总体	挺好用,2.708940541521698e-06
买来	好,2.343246444866776e-06
头发	足,2.343134100829952e-06
实体店	好,2.3254662947196095e-06
洗完	容易,2.2804843895038957e-06
洗出来	枯燥,2.2800470652764204e-06
洗完	暴燥,2.2800470652764204e-06
头发	顺,2.0391206188459205e-06
头发	厉害,9.093264939320694e-07
油量	大,8.358589668181295e-07
订单	小,8.358589668181295e-07
头发	沉重,6.690809349154898e-07
发丝	清洁,3.4523099907102133e-07
东西	很足,2.908027563797424e-07
头发	自由,1.725989470709895e-07
沉浸	愉悦,1.725989470709895e-07
发丝	黏腻,1.6727023372887245e-07
发丝	粘腻,1.6714192071535263e-07
说用	好,8.246026760019201e-08
追评	直接,6.87618657949851e-08
绵密	大,6.8758569250888e-08
追评	细腻,1.3577585562272942e-08
过程	丰厚,1.357693463302574e-08
选择	合适,5.011468296020284e-09
用过	大,6.935497920641755e-10
头皮	有效,2.740320979737124e-10
洗发	黏腻,1.0933498812782366e-10
头发	迅速,3.94370739834333e-14
头皮屑	有效,2.6292643223710787e-14
头发	有效,1.2606889671213502e-18
效果	惊喜,1.1983259928899947e-260
洗发水	惊喜,1.1490085025769194e-261
控油	惊喜,1.0670983382034522e-265
出油	老,2.898269550884068e-286
好用	确实,1.449134775442034e-286
好评	全,7.24567387721017e-287
感觉	老,7.24567387721017e-287
头皮屑	全,6.975826728030516e-287
头皮屑	完全,6.975826728030516e-287
广告	全,6.975826728030516e-287
洗发水	全,6.975826728030516e-287
用过	最好,2.41220642575157e-300
头发	明显,1.0074889132036797e-300
头发	严重,7.068615246751235e-302
出油	很慢,1.211638125178385e-308
头皮	干燥,1.211638125178385e-308
头皮	清洁,1.06627765e-316
发现	长,2.0953596e-317
味道	挺好用,2.0953596e-317
客服	错单,2.0953596e-317
上头	不错,0.0
上能	好,0.0
下买	便宜,0.0
下意识	干净,0.0
不油	好,0.0
不油	柔顺,0.0
不油	完好,0.0
不油	很顺,0.0
不用	柔软,0.0
不用	痛苦,0.0
不用	挺好,0.0
不用	柔顺,0.0
不用	好,0.0
不用	快乐,0.0
不用	粗糙,0.0
东西	认真,0.0
东西	差,0.0
东西	完美,0.0
丝滑	好,0.0
丝滑	直接,0.0
买到	最好,0.0
买完	容易,0.0
买家	快,0.0
买家	扎实,0.0
买来	确实,0.0
买来	惊艳,0.0
买来	正好,0.0
买来	不错,0.0
买用	不错,0.0
了用	不错,0.0
互联网	高,0.0
互联网	差,0.0
产品	惊喜,0.0
产品	仔细,0.0
产品	浓烈,0.0
产品	坏,0.0
产品	重要,0.0
产品	舒服,0.0
产品	蓬松,0.0
产品	大,0.0
产品	强,0.0
产品	低,0.0
产品质量	不错,0.0
产品质量	差,0.0
亮泽	精美,0.0
亮泽	好,0.0
亮泽	蓬松,0.0
介绍	不错,0.0
代言	差,0.0
代言	好,0.0
价格	友好,0.0
价格	心疼,0.0
价格	低,0.0
价格	大,0.0
价格比	便宜,0.0
优惠	麻烦,0.0
体会	快乐,0.0
体验	很棒,0.0
体验	快乐,0.0
保护	很好,0.0
先用	舒爽,0.0
先用	不错,0.0
先用	蓬松,0.0
关键	最好,0.0
关键	大,0.0
关键	不贵,0.0
关键	严重,0.0
冲洗	清爽,0.0
冲洗	容易,0.0
冲洗	费劲,0.0
冲洗	丰富,0.0
冲洗	好,0.0
冲洗	细腻,0.0
净化	不错,0.0
出油	快乐,0.0
出油	确实,0.0
出油	明显,0.0
出油	烦人,0.0
出色	清洁,0.0
出门	蓬松,0.0
出门	尴尬,0.0
出门	方便,0.0
出门	长,0.0
初中生	合适,0.0
到货	不错,0.0
到货	严实,0.0
到货	快,0.0
刷到	好,0.0
刷到	容易,0.0
刺激	安全,0.0
刺激	持久,0.0
刺激	敏感,0.0
力度	黏腻,0.0
功效	仔细,0.0
功效	完后,0.0
功能丰富	精妙,0.0
包脸	快乐,0.0
包装	绝美,0.0
包装	柔顺,0.0
包装	不错,0.0
包装	小,0.0
包装	很好,0.0
包装	简洁,0.0
包装	快,0.0
区别	合适,0.0
卖家	丰富,0.0
卖家	快,0.0
卖家	很棒,0.0
卖家	很好,0.0
卖家	耐心,0.0
卖家	不错,0.0
博主	小,0.0
博主	好,0.0
卡厘	不错,0.0
去屑	明显,0.0
去屑	柔顺,0.0
去屑	蓬松,0.0
去屑	挺好用,0.0
去屑	头痒,0.0
去油	不错,0.0
发丝	蓬松,0.0
发丝	清晰,0.0
发根	完好,0.0
发根	干净,0.0
发现	轻松,0.0
发现	一般,0.0
发现	清爽,0.0
发缝	大,0.0
发缝	秃,0.0
发膜	柔顺,0.0
发膜	根本,0.0
发膜	惊喜,0.0
发质	明显,0.0
发质	偏,0.0
发质	容易,0.0
发质	黑,0.0
发质	粗,0.0
发质	苦恼,0.0
发质	显著,0.0
发质	健康,0.0
发质	亮丽,0.0
变得	亮丽,0.0
变得	挺好,0.0
只能	温和,0.0
只能	慎重,0.0
只能	不错,0.0
同事	好,0.0
同款	小,0.0
名星	好,0.0
后发	蓬松,0.0
后发	柔顺,0.0
听说	不错,0.0
听说	很好,0.0
吹干	干爽,0.0
吹干	香,0.0
吹干	巨,0.0
吹干	细顺,0.0
吹干	光滑,0.0
周到	快,0.0
味道	细软,0.0
味道	雅致,0.0
味道	愉悦,0.0
味道	久,0.0
味道	干净,0.0
味道	自由,0.0
品牌	新,0.0
品牌	大,0.0
商品	浓,0.0
商品	严实,0.0
商品	精妙,0.0
商品	强,0.0
商品	确实,0.0
商品	挺顺,0.0
商品	完好,0.0
商品	久,0.0
商品	容易,0.0
商品	柔顺,0.0
商品	便宜,0.0
商品	大,0.0
商品	直接,0.0
商家	不错,0.0
商家	细致,0.0
商家	完美,0.0
商家	大,0.0
商家	小,0.0
喜欢	干爽,0.0
喜欢	清爽,0.0
喜欢	丰富,0.0
喜欢	容易,0.0
喜欢	好,0.0
喜欢	认真,0.0
喜欢	清新,0.0
喜欢	一般,0.0
喜欢	蓬松,0.0
喜欢	具体,0.0
喜欢	清淡,0.0
喜欢	犹豫,0.0
喜欢	重要,0.0
喜欢	方便,0.0
喜欢	舒服,0.0
